step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,676,4,0.33693891150136807,0.0,0.75
2,2056,8,0.18590225070894478,0.0,0.9090909090909091
3,4332,12,0.15241143888803446,0.0,0.9008264462809917
4,5520,16,0.21586126155219532,0.0,0.8987341772151899
5,6324,20,0.2307760565530316,0.0,0.9391304347826087
6,6872,24,0.2841334056259203,0.0,0.8867924528301887
7,7516,28,0.21555183082894472,0.0,0.9436619718309859
8,8224,32,0.23004653907209394,0.25,0.948051948051948
9,8868,36,0.17649040287190018,0.5,0.9801980198019802
10,9672,40,0.17453532426837776,0.25,0.9310344827586207
11,11212,44,0.13052062226668967,0.25,0.9558823529411765
12,12176,48,0.14050517703205892,0.5,0.9605263157894737
13,12852,52,0.22765553168147384,0.25,0.9302325581395349
14,13816,56,0.1656405223518389,0.75,0.9932885906040269
15,14652,60,0.1598942092528769,0.25,0.9347826086956522
16,15040,64,0.18633565583671344,0.75,0.9736842105263158
17,16068,68,0.15741655391773224,0.25,0.8983050847457628
18,16712,72,0.19246024488231456,0.75,0.9666666666666667
19,17420,76,0.14603573347476648,0.75,0.9807692307692307
20,18544,80,0.11529606412691855,0.75,0.9902912621359223
21,19700,84,0.11437205457365279,0.5,0.94
22,20888,88,0.16050545487032705,0.5,0.970873786407767
23,21628,92,0.12695249943755657,0.5,0.9823008849557522
24,23072,96,0.13818893759473763,0.25,0.9754601226993865
25,23780,100,0.20947206964887807,0.0,0.9436619718309859
26,24424,104,0.17299289319673633,0.75,0.989247311827957
27,25676,108,0.1674317230274911,0.0,0.9635036496350365
28,26928,112,0.2048131402144739,0.25,0.9632352941176471
29,27636,116,0.17025945653431795,0.25,0.9761904761904762
30,28376,120,0.1598430851875719,0.25,0.922077922077922
31,29692,124,0.1480914377505919,0.5,0.9669421487603306
32,31296,128,0.10487423638428688,1.0,1.0
33,32260,132,0.130085860022841,0.25,0.9659090909090909
34,32968,136,0.13810912123834942,0.25,0.9523809523809523
35,35052,140,0.12334906933575912,0.25,0.9516129032258065
36,36368,144,0.1658647632016575,0.0,0.9264705882352942
37,37748,148,0.13328383739905858,0.25,0.94
38,38424,152,0.14524818871868714,0.75,0.9803921568627451
39,39260,156,0.14347393717817242,0.25,0.95
40,41376,160,0.10276241772786734,0.5,0.96
41,41924,164,0.15414201497040617,0.75,0.9782608695652174
42,42536,168,0.1510251603714012,0.5,0.9764705882352941
43,43500,172,0.15018470292059552,0.25,0.9574468085106383
44,44880,176,0.13647905640039631,0.25,0.9806451612903225
45,45588,180,0.17870994040729823,0.5,0.9803921568627451
46,46776,184,0.11922955518118176,1.0,1.0
47,47388,188,0.17051782573907387,0.25,0.9347826086956522
48,48384,192,0.13586721177164732,0.5,0.978494623655914
49,48804,196,0.17483569127590762,0.75,0.9846153846153847
50,50152,200,0.13448054326586695,0.25,0.9779411764705882
51,51084,204,0.12527647287683322,0.0,0.9466666666666667
52,52272,208,0.11213381900088233,0.0,0.9318181818181818
53,53556,212,0.13344820881500197,0.5,0.8636363636363636
54,54616,216,0.19868914496945236,0.25,0.9540229885057471
55,55772,220,0.15964360068794858,0.5,0.9803921568627451
56,56608,224,0.15033554435553292,0.25,0.9090909090909091
57,58276,228,0.1302569027065668,0.5,0.987012987012987
58,58888,232,0.18044331314945639,0.75,0.9866666666666667
59,59308,236,0.14512243244712233,0.75,0.9887640449438202
60,60592,240,0.11904629983315104,0.5,0.9881656804733728
61,61748,244,0.12539541615904326,0.25,0.9433962264150944
62,62488,248,0.14723656764342255,0.25,0.9690721649484536
63,62972,252,0.15015788592328494,0.5,0.9661016949152542
64,63680,256,0.18712945578902393,0.25,0.96
65,64388,260,0.1432564112937721,0.5,0.9807692307692307
66,64968,264,0.19426340445168364,0.0,0.9390243902439024
67,65676,268,0.13891293332531035,0.75,0.9838709677419355
68,66288,272,0.1377153633935013,1.0,1.0
69,67380,276,0.12259033678672715,0.75,0.9871794871794872
70,68248,280,0.13723188234759168,0.25,0.9666666666666667
71,68700,284,0.17835356739855604,0.5,0.9565217391304348
72,69440,288,0.11422555242646239,0.5,0.9746835443037974
73,69988,292,0.1656362119503338,0.5,0.975
74,71144,296,0.1458102357803457,0.75,0.9880952380952381
75,71916,300,0.19067775613435553,0.75,0.9803921568627451
76,72464,304,0.15652675423580215,1.0,1.0
77,73684,308,0.14062981468924005,0.25,0.9454545454545454
78,74808,312,0.11293102250527211,0.5,0.9722222222222222
79,75292,316,0.13322642552499586,1.0,1.0
80,77408,320,0.09124620347693518,0.5,0.9716981132075472
81,78244,324,0.11649376307634576,0.25,0.9578947368421052
82,78696,328,0.2010815179451015,0.5,0.9594594594594594
83,79532,332,0.12497414133336152,0.75,0.9809523809523809
84,80240,336,0.1625134049175561,0.25,0.9538461538461539
85,80852,340,0.16453270089605004,1.0,1.0
86,81368,344,0.17041358458733333,0.5,0.8787878787878788
